number_of_persons,lane_width,crossing_time
39,7.1083992698056315,11.948688658529464
29,5.669469760450223,9.142863770865848
15,10.019802924618016,10.604764857721356
43,6.787294073777922,12.577883282748417
8,4.242700865832628,4.531816814947133
21,10.622253185834007,12.370928245990727
39,10.8843188293373,15.82509908177098
19,6.929942683331616,8.755506669682372
23,3.219147409442981,6.674837272330329
11,6.184347854210847,6.718504261732302
11,10.133607764894732,9.726915446826858
24,11.066853271189173,12.37444802521346
36,4.432991053727161,10.552290195239712
40,3.1362493142400796,10.779393453699413
24,10.834829304761968,12.427924722465763
3,6.199346920299315,5.062166368141265
22,7.646729160541851,10.103838817388425
2,11.696625214482209,9.030399404103592
24,3.132364915185117,7.476630297345733
44,8.659021070794907,14.477827572576818
30,3.204001514461237,8.0241112591368
38,6.066954820431754,11.687599811426427
2,10.136238179337745,7.188214045517052
21,6.617986211178527,8.027926047305757
33,11.97323236207803,13.525069359406883
12,7.811063206992721,8.577057218014149
22,5.551040450041558,7.588082390663057
44,4.591057596095155,12.862581417706638
25,5.829945075718538,9.53395122696433
49,6.039066100715733,13.910774453465255
27,3.152779938377629,7.960196722677102
42,6.010954894554345,12.906105833752822
28,6.910265937522636,9.98501705961771
16,9.366008646268643,9.882517289091357
15,8.738930104855275,8.752173545768738
47,9.233273724676966,16.322259518711952
44,2.5794549778301423,10.284857365407552
3,4.567840296015092,3.814428300483873
37,8.786000739798638,13.605815354636508
7,7.097898997707598,6.530717355775119
21,2.5504780188492866,6.853047554020787
9,10.142699103102313,8.92430478221655
39,9.841690946258204,15.438742818314548
18,7.709982048438845,9.347128531766694
4,3.131401594874585,3.7459166979287093
25,9.781892970559554,11.817848515135129
14,8.045279083447959,8.894696037733327
9,9.928619783000613,8.862237262271696
26,9.641596427760483,10.592158080675881
2,10.128519683599453,7.089735124346515
20,7.4210766308439355,9.591957495007758
28,3.8330829228383925,8.596048831595994
47,8.875995997107044,15.092508446473284
7,8.39450095799372,7.50625588727166
44,9.551405278391329,15.874062454970845
8,4.113869557481985,4.521145470475472
47,4.352264399052748,12.873169603867495
35,10.958890413583621,15.124056520809829
14,9.624789085294672,9.657277556936698
17,11.128170642653068,11.093280906748705
36,9.707795551057247,14.65541047537286
40,8.172975406907867,14.069420625302174
4,8.7142610017648,6.333755817852565
2,10.946715277430094,8.32953116906219
6,7.998664167863435,6.337819193745016
42,8.50771758111968,13.994657163156614
4,3.9865288020342056,3.3215655551887577
29,7.002251591102976,10.82404489718912
18,9.305772563601941,10.434223191368458
26,5.073955634005472,8.619783079668986
44,4.421414714983082,11.775562059698194
34,5.4813546781319475,10.46363151387198
10,4.794255965931917,5.9482253656380415
36,4.5416700518457604,9.01757828523286
14,6.536083007246826,7.314292014624629
31,11.124465881893574,14.918539456186593
48,7.317066644017824,15.08509119943714
15,4.285243617745569,6.694311918673254
8,3.2312308591183037,2.890897612471899
14,9.11348337881029,8.688506369129932
23,6.136588262145684,9.240301400447294
40,10.307393992560913,16.137739577029485
21,8.765352302087317,9.890347821640006
16,10.064293780143,10.194900380177453
45,5.083487374475263,12.831794481272972
18,9.077409763380052,9.35761491815619
47,5.008588854590329,13.238409097355014
24,11.42115055477777,11.620122357466006
26,8.545555674567057,11.550088071208897
25,5.58286210166575,8.490216160103044
45,5.06036269177659,12.390746184582214
41,4.313802558180614,11.607229515526065
29,9.099089109490414,12.522975441667851
15,4.577798323480309,6.265865343167226
45,8.155381026311147,15.309792437468493
1,5.014032755790895,2.9313639621126564
25,8.788704975541751,11.379853596851959
7,10.241927421135124,8.320577378238704
9,9.891239809874204,9.324187027107282
24,9.728087643842425,12.092167566134078
1,4.283362854076395,3.621219005200856
44,3.339656996352928,12.008160199462802
8,9.140013870630163,8.691755102381892
24,5.999298531046337,9.006502569574964
11,6.607289150831799,6.918858323850395
17,2.7959163815372152,5.697552320025303
8,4.965976268112968,5.2152132431688925
35,2.8199258368074083,9.366819401531579
35,10.852264839711852,13.636457530264808
33,4.81226849057604,10.977736395522403
5,7.794703110943576,6.598159371023572
42,2.8703035462807387,9.638984153325676
39,8.83505021740375,13.653853479496634
41,5.568759784663891,11.113022034889598
28,11.030232276097825,12.933619799977002
7,10.937122794873341,9.14110635344678
9,5.590260874436604,6.550400787987633
8,11.059128509059445,9.704714799180934
12,11.9634978982384,11.061785947581145
34,10.341448809177507,13.61919688880465
33,10.526277803674676,13.706527206940871
48,4.865582993036354,12.7019525769113
23,7.978672789148685,9.945987686156009
24,3.1389311826899946,6.866325263797123
37,3.4017203998058623,9.691794754717376
35,11.98947981431626,15.39437496626962
44,5.603072869546153,12.46653279168444
40,9.60774716446404,14.930203128951858
22,10.163318003754757,11.502305468141438
27,10.651221074568678,12.210231430152229
35,11.977468825320488,15.572525786357888
1,4.794216609940245,3.5660584367808155
35,2.883332855167147,8.269709741698946
37,6.4063194209485665,11.680291720186423
47,3.735766363374996,12.366940825773534
14,2.713045947039524,4.169664992840737
3,5.9240548578441174,4.210378220738695
1,9.945513385214745,7.141496321300378
5,7.8787165666381735,6.939120825361821
26,5.471390897498363,10.013300150717322
14,8.716249052180837,9.35535985755601
39,4.704172712933701,11.70253723645927
